id,TrialOrder,Condition,Object,CorrectSide,Pointing_Right,Correct_Pointing,PropLook_Correct,PropLook_Right,Correct_Looking,sex,ageM,vcbAll,noun,verb
sm001,1,Match,cup,right,1,1,1,1,1,m,23,266,149,15
sm001,2,Match,shoe,left,0,1,0.833333333,0.166666667,1,m,23,266,149,15
sm001,3,ObjAbs,cup,right,1,1,0.416666667,0.416666667,0,m,23,266,149,15
sm001,4,ObjDiff,cup,right,0,0,0.116666667,0.116666667,0,m,23,266,149,15
sm001,5,Mis,cup,left,0,1,0.7,0.3,1,m,23,266,149,15
sm001,6,ObjAbs,shoe,left,0,1,0.933333333,0.066666667,1,m,23,266,149,15
sm001,7,Mis,shoe,right,0,0,0.533333333,0.533333333,1,m,23,266,149,15
sm001,8,ObjDiff,shoe,left,0,1,0.716666667,0.283333333,1,m,23,266,149,15
sm001,9,Match,cup,left,0,1,1,0,1,m,23,266,149,15
sm001,10,Match,shoe,right,1,1,0.983333333,0.983333333,1,m,23,266,149,15
sm001,11,ObjAbs,cup,left,0,1,0.916666667,0.083333333,1,m,23,266,149,15
sm001,12,ObjDiff,cup,left,0,1,0.833333333,0.166666667,1,m,23,266,149,15
sm001,13,Mis,cup,right,1,1,1,1,1,m,23,266,149,15
sm001,14,ObjAbs,shoe,right,0,0,0.133333333,0.133333333,0,m,23,266,149,15
sm001,15,Mis,shoe,left,0,1,0.983333333,0.016666667,1,m,23,266,149,15
sm001,16,ObjDiff,shoe,right,1,1,1,1,1,m,23,266,149,15
ai003,1,Match,cup,right,1,1,1,1,1,f,23,135,54,2
ai003,2,Match,shoe,left,0,1,0.866666667,0.133333333,1,f,23,135,54,2
ai003,3,Mis,cup,left,0,1,0.833333333,0.166666667,1,f,23,135,54,2
ai003,4,ObjDiff,cup,right,1,1,1,1,1,f,23,135,54,2
ai003,5,Mis,shoe,right,1,1,0.8,0.8,1,f,23,135,54,2
ai003,6,ObjAbs,cup,right,0,0,0.166666667,0.166666667,0,f,23,135,54,2
ai003,7,ObjDiff,shoe,left,1,0,0.333333333,0.666666667,0,f,23,135,54,2
ai003,8,ObjAbs,shoe,left,1,0,0,1,0,f,23,135,54,2
ai003,9,Match,cup,left,0,1,0.716666667,0.283333333,1,f,23,135,54,2
ai003,10,Match,shoe,right,1,1,1,1,1,f,23,135,54,2
ai003,11,Mis,cup,right,1,1,0.7,0.7,1,f,23,135,54,2
ai003,12,ObjDiff,cup,left,0,1,1,0,1,f,23,135,54,2
ai003,13,Mis,shoe,left,0,1,0.666666667,0.333333333,1,f,23,135,54,2
ai003,14,ObjAbs,cup,left,0,1,1,0,1,f,23,135,54,2
ai003,15,ObjDiff,shoe,right,1,1,0.633333333,0.633333333,1,f,23,135,54,2
ai003,16,ObjAbs,shoe,right,0,0,0,0,0,f,23,135,54,2
mn001,1,Match,cup,right,0,0,0,0,0,m,21,80,23,2
mn001,2,Match,shoe,right,1,1,0.6,0.6,1,m,21,80,23,2
mn001,3,ObjAbs,shoe,left,0,1,0.916666667,0.083333333,1,m,21,80,23,2
mn001,4,ObjDiff,cup,left,0,1,0.833333333,0.166666667,1,m,21,80,23,2
mn001,5,Mis,cup,right,0,0,0,0,0,m,21,80,23,2
mn001,6,ObjDiff,shoe,left,0,1,1,0,1,m,21,80,23,2
mn001,7,ObjAbs,cup,right,0,0,0,0,0,m,21,80,23,2
mn001,8,Mis,shoe,left,0,1,0.866666667,0.133333333,1,m,21,80,23,2
mn001,9,Match,cup,left,0,1,0.716666667,0.283333333,1,m,21,80,23,2
mn001,10,Match,shoe,left,0,1,1,0,1,m,21,80,23,2
mn001,11,ObjAbs,shoe,right,0,0,0,0,0,m,21,80,23,2
mn001,12,ObjDiff,cup,right,0,0,0,0,0,m,21,80,23,2
mn001,13,Mis,cup,left,1,0,0.3,0.7,0,m,21,80,23,2
mn001,14,ObjDiff,shoe,right,0,0,0,0,0,m,21,80,23,2
mn001,15,ObjAbs,cup,left,0,1,1,0,1,m,21,80,23,2
mn001,16,Mis,shoe,right,1,1,0.666666667,0.666666667,1,m,21,80,23,2
mn002,1,Match,cup,right,1,1,0.483333333,0.483333333,0,m,21,4,0,0
mn002,2,Match,shoe,left,0,1,1,0,1,m,21,4,0,0
mn002,3,ObjAbs,shoe,left,0,1,0.733333333,0.266666667,1,m,21,4,0,0
mn002,4,Mis,cup,right,1,1,0.95,0.95,1,m,21,4,0,0
mn002,5,ObjDiff,shoe,left,0,1,1,0,1,m,21,4,0,0
mn002,6,ObjAbs,cup,right,1,1,0.416666667,0.416666667,0,m,21,4,0,0
mn002,7,Mis,shoe,left,1,0,0.416666667,0.583333333,0,m,21,4,0,0
mn002,8,ObjDiff,cup,right,1,1,0.783333333,0.783333333,1,m,21,4,0,0
mn002,9,Match,cup,left,1,0,0.166666667,0.833333333,0,m,21,4,0,0
mn002,10,Match,shoe,right,1,1,0.95,0.95,1,m,21,4,0,0
mn002,11,ObjAbs,shoe,right,1,1,0.75,0.75,1,m,21,4,0,0
mn002,12,Mis,cup,left,1,0,0.466666667,0.533333333,0,m,21,4,0,0
mn002,13,ObjDiff,shoe,right,1,1,0.916666667,0.916666667,1,m,21,4,0,0
mn002,14,ObjAbs,cup,left,1,0,0.016666667,0.983333333,0,m,21,4,0,0
mn002,15,Mis,shoe,right,1,1,0.95,0.95,1,m,21,4,0,0
mn002,16,ObjDiff,cup,left,1,0,0.016666667,0.983333333,0,m,21,4,0,0
ki001,1,Match,shoe,right,1,1,0.483333333,0.483333333,0,m,23,86,35,1
ki001,2,Match,cup,right,0,0,0.483333333,0.483333333,0,m,23,86,35,1
ki001,3,ObjAbs,shoe,right,0,0,0,0,0,m,23,86,35,1
ki001,4,ObjDiff,cup,left,1,0,0.7,0.3,1,m,23,86,35,1
ki001,5,Mis,cup,left,0,1,1,0,1,m,23,86,35,1
ki001,6,ObjAbs,cup,right,1,1,0.4,0.4,0,m,23,86,35,1
ki001,7,Mis,shoe,left,0,1,1,0,1,m,23,86,35,1
ki001,8,ObjDiff,shoe,left,0,1,0.796296296,0.203703704,1,m,23,86,35,1
ki001,9,Match,shoe,left,0,1,1,0,1,m,23,86,35,1
ki001,10,Match,cup,left,0,1,1,0,1,m,23,86,35,1
ki001,11,ObjAbs,shoe,left,0,1,1,0,1,m,23,86,35,1
ki001,12,ObjDiff,cup,right,0,0,0.083333333,0.083333333,0,m,23,86,35,1
ki001,13,Mis,cup,right,0,0,0.016666667,0.016666667,0,m,23,86,35,1
ki001,14,ObjAbs,cup,left,0,1,1,0,1,m,23,86,35,1
ki001,15,Mis,shoe,right,1,1,1,1,1,m,23,86,35,1
ki001,16,ObjDiff,shoe,right,NA,NA,1,1,1,m,23,86,35,1
ki003,1,Match,cup,right,1,1,0.683333333,0.683333333,1,f,19,9,1,1
ki003,2,Match,shoe,right,1,1,1,1,1,f,19,9,1,1
ki003,3,Mis,cup,right,0,0,0.183333333,0.183333333,0,f,19,9,1,1
ki003,4,Mis,shoe,right,0,0,0.25,0.25,0,f,19,9,1,1
ki003,5,ObjDiff,shoe,left,0,1,0.783333333,0.216666667,1,f,19,9,1,1
ki003,6,ObjDiff,cup,left,1,0,0.3,0.7,0,f,19,9,1,1
ki003,7,ObjAbs,cup,left,1,0,0,1,0,f,19,9,1,1
ki003,8,ObjAbs,shoe,left,0,1,1,0,1,f,19,9,1,1
ki003,9,Match,cup,left,0,1,1,0,1,f,19,9,1,1
