id,TrialOrder,time,Condition,Object,CorrectSide,Pointing_Right,Correct_Pointing,PropLook_Correct,PropLook_Right,Correct_Looking,sex,ageM,vcbAll,noun,verb
hn011,1,2,Match,shoe,right,NA,NA,1,1,1,m,21,37,8,2
hn011,2,2,Match,cup,left,NA,NA,0.733333333,0.266666667,1,m,21,37,8,2
hn011,3,2,Mis,cup,left,NA,NA,1,0,1,m,21,37,8,2
hn011,4,2,ObjDiff,shoe,left,NA,NA,0.266666667,0.733333333,0,m,21,37,8,2
hn011,5,2,ObjAbs,shoe,right,NA,NA,0,0,0,m,21,37,8,2
hn011,6,2,ObjDiff,cup,right,NA,NA,0.766666667,0.766666667,1,m,21,37,8,2
hn011,7,2,Mis,shoe,right,NA,NA,1,1,1,m,21,37,8,2
hn011,8,2,ObjAbs,cup,left,NA,NA,0.066666667,0.933333333,0,m,21,37,8,2
hn011,9,2,Match,shoe,left,NA,NA,1,0,1,m,21,37,8,2
hn011,10,2,Match,cup,right,NA,NA,0,0,0,m,21,37,8,2
hn011,11,2,Mis,cup,right,NA,NA,0,0,0,m,21,37,8,2
hn011,12,2,ObjDiff,shoe,right,NA,NA,0.733333333,0.733333333,1,m,21,37,8,2
hn011,13,2,ObjAbs,shoe,left,NA,NA,1,0,1,m,21,37,8,2
hn011,14,2,ObjDiff,cup,left,NA,NA,1,0,1,m,21,37,8,2
hn011,15,2,Mis,shoe,left,NA,NA,0.816666667,0.183333333,1,m,21,37,8,2
hn011,16,2,ObjAbs,cup,right,NA,NA,0.666666667,0.666666667,1,m,21,37,8,2
mk003,1,2,Match,shoe,right,NA,NA,1,1,1,f,20,1,0,0
mk003,2,2,Match,cup,left,NA,NA,1,0,1,f,20,1,0,0
mk003,3,2,ObjAbs,shoe,left,NA,NA,0.333333333,0.666666667,0,f,20,1,0,0
mk003,4,2,ObjAbs,cup,right,NA,NA,0.583333333,0.583333333,1,f,20,1,0,0
mk003,5,2,ObjDiff,cup,right,NA,NA,0.55,0.55,1,f,20,1,0,0
mk003,6,2,Mis,shoe,left,NA,NA,0,1,0,f,20,1,0,0
mk003,7,2,ObjDiff,shoe,right,NA,NA,0.283333333,0.283333333,0,f,20,1,0,0
mk003,8,2,Mis,cup,left,NA,NA,0,1,0,f,20,1,0,0
mk003,9,2,Match,shoe,left,NA,NA,0,1,0,f,20,1,0,0
mk003,10,2,Match,cup,right,NA,NA,1,1,1,f,20,1,0,0
mk003,11,2,ObjAbs,shoe,right,NA,NA,0,0,0,f,20,1,0,0
mk003,12,2,ObjAbs,cup,left,NA,NA,1,0,1,f,20,1,0,0
mk003,13,2,ObjDiff,cup,left,NA,NA,0,1,0,f,20,1,0,0
mk003,14,2,Mis,shoe,right,NA,NA,0.866666667,0.866666667,1,f,20,1,0,0
mk003,15,2,ObjDiff,shoe,left,NA,NA,0,1,0,f,20,1,0,0
mk003,16,2,Mis,cup,right,NA,NA,0.416666667,0.416666667,0,f,20,1,0,0
hn009,1,2,Match,cup,left,1,1,1,0,1,m,22,68,28,0
hn009,2,2,Match,shoe,right,2,1,0.783333333,0.783333333,1,m,22,68,28,0
hn009,3,2,ObjAbs,cup,left,2,0,0,1,0,m,22,68,28,0
hn009,4,2,ObjDiff,shoe,right,2,1,1,1,1,m,22,68,28,0
hn009,5,2,ObjDiff,cup,right,NA,NA,0.466666667,0.466666667,0,m,22,68,28,0
hn009,6,2,Mis,cup,right,2,1,1,1,1,m,22,68,28,0
hn009,7,2,Mis,shoe,left,1,1,0.75,0.25,1,m,22,68,28,0
hn009,8,2,ObjAbs,shoe,left,NA,NA,0.316666667,0.683333333,0,m,22,68,28,0
hn009,9,2,Match,cup,right,2,1,1,1,1,m,22,68,28,0
hn009,10,2,Match,shoe,left,1,1,1,0,1,m,22,68,28,0
hn009,11,2,ObjAbs,cup,right,NA,NA,0.616666667,0.616666667,1,m,22,68,28,0
hn009,12,2,ObjDiff,shoe,left,NA,NA,1,0,1,m,22,68,28,0
hn009,13,2,ObjDiff,cup,left,1,1,0.883333333,0.116666667,1,m,22,68,28,0
hn009,14,2,Mis,cup,left,1,1,0.95,0.05,1,m,22,68,28,0
hn009,15,2,Mis,shoe,right,2,1,0.933333333,0.933333333,1,m,22,68,28,0
hn009,16,2,ObjAbs,shoe,right,2,1,1,1,1,m,22,68,28,0
hs005,1,2,Match,cup,right,2,1,1,1,1,f,22,189,76,10
hs005,2,2,Match,shoe,left,1,1,0.783333333,0.216666667,1,f,22,189,76,10
hs005,3,2,Mis,shoe,right,2,1,0.883333333,0.883333333,1,f,22,189,76,10
hs005,4,2,ObjDiff,cup,right,NA,NA,0.016666667,0.016666667,0,f,22,189,76,10
hs005,5,2,Mis,cup,right,2,1,1,1,1,f,22,189,76,10
hs005,6,2,ObjAbs,shoe,left,1,1,0.983333333,0.016666667,1,f,22,189,76,10
hs005,7,2,ObjDiff,shoe,left,2,0,0,1,0,f,22,189,76,10
hs005,8,2,ObjAbs,cup,left,NA,NA,0.416666667,0.583333333,0,f,22,189,76,10
hs005,9,2,Match,cup,left,1,1,1,0,1,f,22,189,76,10
hs005,10,2,Match,shoe,right,2,1,1,1,1,f,22,189,76,10
hs005,11,2,Mis,shoe,left,1,1,0.85,0.15,1,f,22,189,76,10
hs005,12,2,ObjDiff,cup,left,NA,NA,0,1,0,f,22,189,76,10
hs005,13,2,Mis,cup,left,1,1,1,0,1,f,22,189,76,10
hs005,14,2,ObjAbs,shoe,right,2,1,1,1,1,f,22,189,76,10
hs005,15,2,ObjDiff,shoe,right,2,1,1,1,1,f,22,189,76,10
hs005,16,2,ObjAbs,cup,right,NA,NA,0.166666667,0.166666667,0,f,22,189,76,10
kb003,1,2,Match,shoe,right,2,1,1,1,1,f,21,329,137,32
kb003,2,2,Match,cup,left,1,1,0.315789474,0.684210526,0,f,21,329,137,32
kb003,3,2,ObjAbs,cup,left,2,0,0,1,0,f,21,329,137,32
kb003,4,2,Mis,cup,left,1,1,0.735294118,0.264705882,1,f,21,329,137,32
kb003,5,2,ObjDiff,shoe,right,NA,NA,0.4,0.4,0,f,21,329,137,32
kb003,6,2,ObjDiff,cup,right,NA,NA,0.333333333,0.333333333,0,f,21,329,137,32
kb003,7,2,ObjAbs,shoe,left,2,0,0.255813953,0.744186047,0,f,21,329,137,32
kb003,8,2,Mis,shoe,right,2,1,1,1,1,f,21,329,137,32
kb003,9,2,Match,shoe,left,1,1,0.633333333,0.366666667,1,f,21,329,137,32
kb003,10,2,Match,cup,right,NA,NA,1,1,1,f,21,329,137,32
kb003,11,2,ObjAbs,cup,right,2,1,0.857142857,0.857142857,1,f,21,329,137,32
kb003,12,2,Mis,cup,right,2,1,1,1,1,f,21,329,137,32
kb003,13,2,ObjDiff,shoe,left,2,0,0,1,0,f,21,329,137,32
kb003,14,2,ObjDiff,cup,left,2,0,0,1,0,f,21,329,137,32
kb003,15,2,ObjAbs,shoe,right,2,1,1,1,1,f,21,329,137,32
kb003,16,2,Mis,shoe,left,1,1,0.838709677,0.161290323,1,f,21,329,137,32
sm003,1,2,Match,cup,left,1,1,0.384615385,0.615384615,0,m,20,5,0,3
sm003,2,2,Match,shoe,left,NA,NA,0.133333333,0.866666667,0,m,20,5,0,3
sm003,3,2,ObjDiff,shoe,right,1,0,0,0,0,m,20,5,0,3
sm003,4,2,Mis,cup,right,2,1,1,1,1,m,20,5,0,3
sm003,5,2,Mis,shoe,left,1,1,0.4,0.6,0,m,20,5,0,3
sm003,6,2,ObjAbs,shoe,left,NA,NA,0,1,0,m,20,5,0,3
sm003,7,2,ObjAbs,cup,right,2,1,0.816666667,0.816666667,1,m,20,5,0,3
sm003,8,2,ObjDiff,cup,right,1,0,0.978723404,0.978723404,1,m,20,5,0,3
sm003,9,2,Match,cup,right,1,0,0.081081081,0.081081081,0,m,20,5,0,3
sm003,10,2,Match,shoe,right,2,1,1,1,1,m,20,5,0,3
sm003,11,2,ObjDiff,shoe,left,2,0,0,1,0,m,20,5,0,3
sm003,12,2,Mis,cup,left,2,0,0,1,0,m,20,5,0,3
sm003,13,2,Mis,shoe,right,2,1,0.95,0.95,1,m,20,5,0,3
